Unnamed: 0,excerpt,target
0,"walked through the massive room, looking at the many different decorations that sat stored in the corners; I could make out some sunlight through the drapes of curtains along the same side as the windows above, on the next floor. Walking slowly down one side of the banquet room, the eeriness of the place seemed to drift about me and cling to the air in a cold embrace. I could almost hear the music that had once been played in this abandoned hall. Many a wedding reception or party had gone on here, it looked well used. Now, no one would ever dance here again. Hearing a creak behind me and the familiar guttural noise a feral vampire makes, I turned and could hear footsteps approaching me from behind one of the piles of debris stacked high to one side. I pulled out my hatchet, expecting to take them down quickly. Instead I found what used to be a woman. She reached toward me with her",-0.04366371626965702
1,"the view of the room. Slowly, the light glided into my eyes. There was an open area in the center; silver staircases ran on both sides; purple carpets covered the middle portions. The ground was soft, accommodating my footsteps as I walked. The floor looked similar to a checkers board. A golden, colossal chandelier adorned the middle of the ruby-red, fluffy ceiling. Columns stood on the far side of the room, each incrusted with deep-green emeralds. Exposed halls were visible from the bottom, where I stood. There was a series of upside-down doors along the sidewalls. The room was glorious and full of life. ""You must pick a room, all the members have one. Here is where you will sleep, on this side of the House."" Ms. Baynes pulled up her orange dress and placed her foot on one of the silvery steps. ""What are you waiting for, dear? C'mon."" Once we had made it to the second level, she lightly grabbed me by the arm and said, ""Any door that's not taken can be yours. Through the door you will find a safe place, one that can contain your energy. The place can be altered as you wish, once inside",-0.5416210207343102
2,"into rectangular sections by borders that looked like picture frames. The floor was terrazzo, smooth polished marble assembled from different colored pieces, the pattern of the pieces forming a map of the world complete with a compass in one corner and sea serpents poking up from the oceans. More overstuffed leather chairs were scattered around the periphery, and a well stocked bar was tucked along one corner, rows and rows of expensive looking bottles arrayed against a mirrored wall. Again, this room was empty of people. I ran around the room, looking for another door but not finding one. I walked to the center of the room and looked around. I felt a strange sense of déjà vu followed by a rising feeling of panic. I looked at my phone and saw that I had no signal. Taking slow breaths, I tried to remain calm and think things through. There had to be another hidden door.",-0.47160027056932446
3,"known you to turn down my meatloaf."" With a long sigh, she put her fork down. ""I'm sorry, Mama. It's not your food—it's as delicious as always."" Doris didn't press, she simply watched and waited, as was her way. ""I have a bit of an odd problem."" She looked down in her lap, wondering how her mother would react to what she was about to say. ""The sheriff has made a rather insistent declaration to court me."" In response, Doris broke into a bright smile and clapped her hands together. ""Problem? This is a blessing! It's just what we've been waiting for!"" Valerie's head dropped even lower between her shoulders. ""We both know it's not that simple."" The unspoken truth passed between them, and Doris' exuberance cooled. ""Valerie, I know you feel badly about not being able to carry, but that's not all there is to a marriage."" She cringed as the pain of her situation stung her once again. ""I know, Mama. But the men around here don't seem to care much about anything else. They all want a woman who can bear them",-0.5392065542936325
4,"bowl in front of her, placed a sandwich on a saucer, and pushed it toward her. There had been a twinkle in his eye. Edwina smiled for the first time in days. ""I am starved,"" she admitted. ""Then eat,"" he ordered. Chapter 51 ""Thank ye for dinner, lass. I shall not forget your assistance,"" Mr. Dunnegin stated before she exited the car at the hospital. ""Not likely. You'll have to pay through the nose for it,"" she teased and took Reardon's offered hand. She leaned down and said, ""I will pray for you."" Mr. Dunnegin's eyes caught hers. ""Thank ye, lass."" He handed her the box of precious pictures. Edwina took the box and with a look told him she would care for them with her life. Reardon waited by the door until she was inside the hospital. Lord, I walked out of here dejected, and you've brought me back with a job to do. Please, Lord, help Mr. Dunnegin to win. Help Paige to get better. And, Lord, please forgive me",-0.9142796838283539
5,"away. Cathy came back to the table. ""Is there something I could do to help, Miss Marjorie?"" She summoned her courage. After all Miss Marjorie had allowed her in, talked to her about what had happened. ""Did you have a bit of a fall-out, like?"" She closed her eyes for a second, hardly believing her own daring. But, whether it was because she was in such a state, Miss Marjorie didn't see anything wrong in the question. ""We did argue yes, last night. I suppose you're not blind or deaf, dear. You will have noticed that not all has been well between my sister and me. But, to leave like this...oh, dear, what if she's harmed herself in some way. Oh, dear, oh dear, Cathy, what am I to do?"" She had to do something. ""Miss Sowerby? I think I should get my mother. She'll know what to do."" There was no answer. At least she hadn't said no. ""I'll go now, quickly and then I'll let you talk to her while I go and open up."" Within twenty minutes, Cathy had returned to the shop, on her bicycle this time and told Miss Marjorie",-0.4470717895030975
6,"hoping that would be enough to satisfy Susannah's curiosity. 'A present? Who from? Oh, that girl, I suppose.' Susannah's lips compressed into a disapproving line. 'It's a little fancy for the dinner table,' she added, but said no more on the subject. Amy breathed a sigh of relief, and risked a peek at Jimmy. He was looking back at her with a tiny smile playing on his lips, and Amy decided it had been worth the risk. But after dinner she put the ribbon away safely in her top drawer with her underwear. To her delight, Jimmy came out next morning in time for them to breakfast together. 'Thank you for that lovely present,' she said, looking up from setting out their plates. 'It's the most beautiful ribbon I've ever had.' 'Then it suits you, because I think you're the prettiest girl I've ever met.' Amy was too flustered at such an",-0.21828348368406297
7,"the living room. ""Bill, are you out there?"" Bill didn't answer. Two hours later after a frantic search of the hotel, Susan called the Police. Bill had disappeared. Petie won a tough, three set match earlier to reach the quarterfinals. It was a fun match to watch, not only because Petie won, but also because both kids were such good sports. There were several close line calls where they gave their opponent the benefit of the doubt. On one point Petie called a shot on the sideline good, but the boy overruled him. ""I had a better view Pete, it was clearly out."" After the match was over the boys talked for twenty minutes and exchanged phone numbers. It turned out that Ron lived in New Port Richey, only 30 minutes from our house. Petie had reached the semi-finals, and made a new friend. This afternoon it was quickly obvious that Petie was overmatched. The boy was almost six feet tall and 180 pounds, pretty big for a 14 year old. He had been playing tournaments for five years and his serve was harder than anything Pete had faced. The final score was",-0.2958676332607865
8,"The ball cracked off the face and flew high and straight down the middle. ""Nice shot!"" Blanche exclaimed. ""Bridie told me you were a good player and I guess you truly are."" Annie smiled at her. ""Thank you. I was okay once. But now it seems I'm either hitting it shorter or the courses are getting longer. I expect the former, though."" Blanche laughed and they got into the cart and drove off after their balls. The caddie followed on foot carrying their putters. * * * Conor tried not to say too much. His heart was pounding so hard he was afraid they would hear a quiver in his voice and wonder what was wrong. The sight of her had been overwhelming and even after eleven holes he still couldn't quell his emotions. She still got to him. She certainly was older. But she was still beautiful. The book jacket pictures had not done her justice. She still moved with a rare grace he could never forget. He'd gone through the duties of a caddie silently; tending pins, cleaning clubs, raking bunkers, wrangling the putters. He was thankful they hadn't asked him to read the greens, even though he knew",-0.30632339149713517
9,"dunno."" ""Have they all gone then?"" ""No. After the bancas left I went along the edge of the forest to the tennis court. There were still guards around it. But while I was watching, they moved the hostages from the restaurant to inside the tennis court. That's about an hour ago now."" ""Did you see Malou?"" ""Yes, and Ness."" ""How did she look?"" Pater grinned, ""Who? Ness looked fine."" ""You know, I mean Malou."" ""Yeah, she looked fine. Just like everyone else, a bit dishevelled and messy hair. I wish you'd remember what I said before about Malou. Anyway, it's pretty crowded inside the court. The staff are in there too. I'm just curious what is going to happen next. There's still a bit over a couple of hours to dawn, try and get some shut-eye."" T.A. knew it was time for silence. He knew Pater well enough to know his statement meant Pater wanted to sleep. T.A. wrapped the sheet around himself and tried to settle comfortably into the cogon grass. Briefly he thought about the creatures he had seen crawling by him in the previous few hours and decided he did not",-1.0594776785373687
